CSV containing all Yahoo Finance Tickers (100,000+)

Ticker,Exchange
OEDV,PNK
AAPL,NMS
BAC,NYQ
AMZN,NMS
T,NYQ
GOOG,NMS
MO,NYQ
DAL,NYQ
AA,NYQ
AXP,NYQ
DD,NYQ
BABA,NYQ
ABT,NYQ
UA,NYQ
AMAT,NMS
AMGN,NMS
AAL,NMS
AIG,NYQ
ALL,NYQ
ADBE,NMS
GOOGL,NMS
ACN,NYQ
ABBV,NYQ
MT,NYQ
LLY,NYQ
AGN,NYQ
APA,NYQ
ADP,NMS
APC,NYQ
AKAM,NMS
NLY,NYQ
ABX,NYQ
ATVI,NMS
ADSK,NMS
ADM,NYQ
BMH.AX,ASX
WBA,NMS
ARNA,NMS
LUV,NYQ
ACAD,NMS
PANW,NYQ
AMD,NCM
AET,NYQ
AEP,NYQ
ALXN,NMS
CLMS,NMS
AVGO,NMS
EA,NMS
DB,NYQ
RAI,NYQ
AEM,NYQ
APD,NYQ
AMBA,NMS
NVS,NYQ
APOL,NMS
ANF,NYQ
LULU,NMS
RAD,NYQ
BRK.AX,ASX
ARRY,NGM
AGNC,NMS
JBLU,NMS
A,NYQ
ORLY,NMS
FOLD,NGM
AZO,NYQ
ATML,NMS
AN,NYQ
AZN,NYQ
AES,NYQ
GAS,NYQ
BUD,NYQ
ARR,NYQ
BDX,NYQ
AKS,NYQ
AB,NYQ
ACOR,NMS
CS,NYQ
AFL,NYQ
ADI,NMS
AEGR,NMS
ACIW,NMS
AMP,NYQ
AVP,NYQ
AMTD,NMS
AEO,NYQ
AWK,NYQ
NVO,NYQ
ALTR,NMS
ALK,NYQ
PAA,NYQ
MTU.AX,ASX
ARCC,NMS
AAP,NYQ
NAT,NYQ
FNMA,PNK
FAV,NYQ
AIV,NYQ
AGIO,NMS
AEE,NYQ
UBS,NYQ
AVXL,NCM
ARLP,NMS
ANTM,NYQ
AGU,NYQ
AG,NYQ
AFSI,NMS
ABC,NYQ
STO,NYQ
ATI,NYQ
ADT,NYQ
AVB,NYQ
ATW,NYQ
ALNY,NMS
LH,NYQ
AVY,NYQ
AUY,NYQ
ASH,NYQ
ARMH,NMS
ARIA,NMS
ANR,NYQ
AINV,NMS
ACXM,NMS
ACHN,NMS
ACET,NMS
ABMD,NMS
ABM,NYQ
VA,NMS
LIFE,NMS
ATO,NYQ
ARP,NYQ
AON,NYQ
ADXS,NMS
ADC,NYQ
APU,NYQ
SAVE,NMS
AV,NYQ
AKRX,NMS
ADS,NYQ
ABAX,NMS
AYI,NYQ
AWH,NYQ
ASML,NMS
AMT,NYQ
ALDR,NGM
ACM,NYQ
DWA,NMS
ATRS,NCM
ARW,NYQ
ARI,NYQ
ARG,NYQ
AR,NYQ
AMCC,NMS
AMC,NYQ
AL,NYQ
AGEN,NCM
AAN,NYQ
WTR,NYQ
FCAU,NYQ
BAH,NYQ
AXAS,NCM
AVT,NYQ
ALB,NYQ
AIZ,NYQ
SAIC,NYQ
CAR,NMS
AXLL,NYQ
AU,NYQ
ARO,NYQ
APH,NYQ
ANTH,NGM
AMX,NYQ
AMDA,NCM
AI,NYQ
ABCO,NMS
WMC,NYQ
MPX.AX,ASX
JKHY,NMS
AVAV,NMS
AMKR,NMS
ALJ,NYQ
ACH,NYQ
GPH.AX,ASX
ERC,ASE
APPY,NCM
ANAC,NMS
AEIS,NMS
Y,NYQ
MTGE,NMS
CENX,NMS
ASPS,NMS
AMRN,NGM
AMPE,ASE
AMAG,NMS
ALKS,NMS
AFFX,NMS
ADES,NGM
ACAT,NMS
AAON,NMS
XLRN,NGM
VRSK,NMS
VJET,NYQ
OA,NYQ
ATLS,PNK
APTS,NYQ
APO,NYQ
ALSK,NMS
ALG,NYQ
AHC,NYQ
